territory_id,territory_name,territory_name_population,territory_norm,match_status
TER078,Алтайский край,Алтайский край,алтайский край,matched
TER092,Амурская область,Амурская область,амурская область,matched
TER026,Архангельская область (кроме Ненецкого автономного округа),Архангельская область (кроме Ненецкого автономного округа),архангельская область кроме ненецкого автономного округа,matched
TER039,Астраханская область,Астраханская область,астраханская область,matched
TER003,Белгородская область,Белгородская область,белгородская область,matched
TER004,Брянская область,Брянская область,брянская область,matched
TER005,Владимирская область,Владимирская область,владимирская область,matched
TER040,Волгоградская область,Волгоградская область,волгоградская область,matched
TER027,Вологодская область,Вологодская область,вологодская область,matched
TER006,Воронежская область,Воронежская область,воронежская область,matched
TER020,Город Москва столица Российской Федерации город федерального значения,Город Москва столица Российской Федерации город федерального значения,город москва столица российской федерации город федерального значения,matched
TER033,Город Санкт-Петербург город федерального значения,Город Санкт-Петербург город федерального значения,город санкт-петербург город федерального значения,matched
TER042,Город федерального значения Севастополь,Город федерального значения Севастополь,город федерального значения севастополь,matched
TER095,Еврейская автономная область,Еврейская автономная область,еврейская автономная область,matched
TER087,Забайкальский край,Забайкальский край,забайкальский край,matched
TER007,Ивановская область,Ивановская область,ивановская область,matched
TER080,Иркутская область,Иркутская область,иркутская область,matched
TER046,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,кабардино-балкарская республика,matched
TER028,Калининградская область,Калининградская область,калининградская область,matched
TER008,Калужская область,Калужская область,калужская область,matched
TER089,Камчатский край,Камчатский край,камчатский край,matched
TER047,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,карачаево-черкесская республика,matched
TER081,Кемеровская область - Кузбасс,Кемеровская область - Кузбасс,кемеровская область - кузбасс,matched
TER059,Кировская область,Кировская область,кировская область,matched
TER009,Костромская область,Костромская область,костромская область,matched
TER038,Краснодарский край,Краснодарский край,краснодарский край,matched
TER079,Красноярский край,Красноярский край,красноярский край,matched
TER067,Курганская область,Курганская область,курганская область,matched
TER010,Курская область,Курская область,курская область,matched
TER029,Ленинградская область,Ленинградская область,ленинградская область,matched
TER011,Липецкая область,Липецкая область,липецкая область,matched
TER093,Магаданская область,Магаданская область,магаданская область,matched
TER012,Московская область,Московская область,московская область,matched
TER030,Мурманская область,Мурманская область,мурманская область,matched
TER025,Ненецкий автономный округ (Архангельская область),Ненецкий автономный округ (Архангельская область),ненецкий автономный округ архангельская область,matched
TER060,Нижегородская область,Нижегородская область,нижегородская область,matched
TER031,Новгородская область,Новгородская область,новгородская область,matched
TER082,Новосибирская область,Новосибирская область,новосибирская область,matched
TER083,Омская область,Омская область,омская область,matched
TER061,Оренбургская область,Оренбургская область,оренбургская область,matched
TER013,Орловская область,Орловская область,орловская область,matched
TER062,Пензенская область,Пензенская область,пензенская область,matched
TER058,Пермский край,Пермский край,пермский край,matched
TER090,Приморский край,Приморский край,приморский край,matched
TER032,Псковская область,Псковская область,псковская область,matched
TER035,Республика Адыгея (Адыгея),Республика Адыгея (Адыгея),республика адыгея адыгея,matched
TER075,Республика Алтай,Республика Алтай,республика алтай,matched
TER052,Республика Башкортостан,Республика Башкортостан,республика башкортостан,matched
TER086,Республика Бурятия,Республика Бурятия,республика бурятия,matched
TER044,Республика Дагестан,Республика Дагестан,республика дагестан,matched
TER045,Республика Ингушетия,Республика Ингушетия,республика ингушетия,matched
TER036,Республика Калмыкия,Республика Калмыкия,республика калмыкия,matched
TER022,Республика Карелия,Республика Карелия,республика карелия,matched
TER023,Республика Коми,Республика Коми,республика коми,matched
TER037,Республика Крым,Республика Крым,республика крым,matched
TER053,Республика Марий Эл,Республика Марий Эл,республика марий эл,matched
TER054,Республика Мордовия,Республика Мордовия,республика мордовия,matched
TER088,Республика Саха (Якутия),Республика Саха (Якутия),республика саха якутия,matched
TER048,Республика Северная Осетия-Алания,Республика Северная Осетия-Алания,республика северная осетия-алания,matched
TER055,Республика Татарстан (Татарстан),Республика Татарстан (Татарстан),республика татарстан татарстан,matched
TER076,Республика Тыва,Республика Тыва,республика тыва,matched
TER077,Республика Хакасия,Республика Хакасия,республика хакасия,matched
TER041,Ростовская область,Ростовская область,ростовская область,matched
TER014,Рязанская область,Рязанская область,рязанская область,matched
TER063,Самарская область,Самарская область,самарская область,matched
TER064,Саратовская область,Саратовская область,саратовская область,matched
TER094,Сахалинская область,Сахалинская область,сахалинская область,matched
TER068,Свердловская область,Свердловская область,свердловская область,matched
TER015,Смоленская область,Смоленская область,смоленская область,matched
TER050,Ставропольский край,Ставропольский край,ставропольский край,matched
TER016,Тамбовская область,Тамбовская область,тамбовская область,matched
TER017,Тверская область,Тверская область,тверская область,matched
TER084,Томская область,Томская область,томская область,matched
TER018,Тульская область,Тульская область,тульская область,matched
TER072,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),тюменская область кроме ханты-мансийского автономного округа-югры и ямало-ненецкого автономного округа,matched
TER056,Удмуртская Республика,Удмуртская Республика,удмуртская республика,matched
TER065,Ульяновская область,Ульяновская область,ульяновская область,matched
TER091,Хабаровский край,Хабаровский край,хабаровский край,matched
TER070,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ханты-Мансийский автономный округ - Югра (Тюменская область),ханты-мансийский автономный округ - югра тюменская область,matched
TER073,Челябинская область,Челябинская область,челябинская область,matched
TER049,Чеченская Республика,Чеченская Республика,чеченская республика,matched
TER057,Чувашская Республика - Чувашия,Чувашская Республика - Чувашия,чувашская республика - чувашия,matched
TER096,Чукотский автономный округ,Чукотский автономный округ,чукотский автономный округ,matched
TER071,Ямало-Ненецкий автономный округ (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),ямало-ненецкий автономный округ тюменская область,matched
TER019,Ярославская область,Ярославская область,ярославская область,matched
,,Архангельская область,архангельская область,population_only_not_in_model_universe
,,Дальневосточный федеральный округ (с 03.11.2018),дальневосточный федеральный округ с 03 11 2018,population_only_not_in_model_universe
,,Приволжский федеральный округ,приволжский федеральный округ,population_only_not_in_model_universe
,,Северо-Западный федеральный округ,северо-западный федеральный округ,population_only_not_in_model_universe
,,Северо-Кавказский федеральный округ,северо-кавказский федеральный округ,population_only_not_in_model_universe
,,Сибирский федеральный округ (с 03.11.2018),сибирский федеральный округ с 03 11 2018,population_only_not_in_model_universe
,,Тюменская область,тюменская область,population_only_not_in_model_universe
,,Уральский федеральный округ,уральский федеральный округ,population_only_not_in_model_universe
,,Центральный федеральный округ,центральный федеральный округ,population_only_not_in_model_universe
,,Южный федеральный округ (с 29.07.2016),южный федеральный округ с 29 07 2016,population_only_not_in_model_universe
