territory_name_source,territory_norm,indent_spaces,territory_kind_source,year,unemployment_rate_ilo_15plus_pct,indicator_name,unit,source_file,source_file_sha256,source_note,territory_id,territory_name,territory_level,federal_district_id,federal_district_name,is_rf_total,is_federal_district,is_nonoverlap_model_region,is_overlapping_parent_region,is_part_without_autonomous_okryg,is_nested_official_autonomous_okryg,match_status
Российская Федерация,российская федерация,0,rf_total,2017,5.2,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2018,4.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2019,4.6,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2020,5.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2021,4.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2022,4.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2023,3.2,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2024,2.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Российская Федерация,российская федерация,0,rf_total,2025,2.2,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER001,Российская Федерация,РФ,,,True,False,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2017,3.3,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2018,2.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2019,2.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2020,3.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2021,3.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2022,3.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2023,2.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2024,1.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Центральный федеральный округ,центральный федеральный округ,4,federal_district,2025,1.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER002,Центральный федеральный округ,Федеральный округ,TER002,Центральный федеральный округ,False,True,False,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2017,3.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2018,4.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2019,3.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2020,4.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2021,4.2,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2022,3.7,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2023,3.6,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2024,2.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Белгородская область,белгородская область,8,subject_or_parent_region,2025,1.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER003,Белгородская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Брянская область,брянская область,8,subject_or_parent_region,2017,4.4,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER004,Брянская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Брянская область,брянская область,8,subject_or_parent_region,2018,4.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER004,Брянская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Брянская область,брянская область,8,subject_or_parent_region,2019,3.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER004,Брянская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Брянская область,брянская область,8,subject_or_parent_region,2020,4.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER004,Брянская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
